,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Party,Most Likely Topic
0,0.12016361206769943,0.8332325220108032,0.015518687665462494,0.015475736930966377,0.0156094403937459,0,Topic 2
1,0.01583310030400753,0.015858180820941925,0.9372086524963379,0.01568317972123623,0.015416854061186314,1,Topic 3
2,0.01551781501621008,0.015485872514545918,0.015386469662189484,0.9381983280181885,0.015411525033414364,0,Topic 4
3,0.015897559002041817,0.015995251014828682,0.016135185956954956,0.5881162881851196,0.3638556897640228,1,Topic 4
4,0.3912307620048523,0.14882026612758636,0.018333015963435173,0.13654878735542297,0.3050672113895416,0,Topic 1
5,0.016713906079530716,0.01682056300342083,0.9330090284347534,0.016741756349802017,0.016714762896299362,1,Topic 3
6,0.028572440147399902,0.028572432696819305,0.8857102394104004,0.028572427108883858,0.028572430834174156,1,Topic 3
7,0.45163556933403015,0.025059234350919724,0.14568021893501282,0.025555090978741646,0.3520699143409729,1,Topic 1
8,0.9474086761474609,0.013135446235537529,0.01319081336259842,0.013131925836205482,0.013133099302649498,0,Topic 1
9,0.040066007524728775,0.04000050947070122,0.8398229479789734,0.040090225636959076,0.04002032056450844,0,Topic 3
10,0.5598911046981812,0.1349061131477356,0.2635314166545868,0.020974349230527878,0.020696964114904404,0,Topic 1
11,0.01860593445599079,0.3744167983531952,0.01834161765873432,0.01848522387444973,0.5701503753662109,0,Topic 5
12,0.5728530883789062,0.11925671994686127,0.01765480451285839,0.01769058220088482,0.2725447714328766,0,Topic 1
13,0.015641190111637115,0.0158236064016819,0.1842304915189743,0.2867203652858734,0.4975843131542206,1,Topic 5
14,0.15763500332832336,0.40781262516975403,0.02014312334358692,0.020392639562487602,0.3940166234970093,0,Topic 2
15,0.021589260548353195,0.3176535367965698,0.28473961353302,0.35405656695365906,0.021961001679301262,0,Topic 4
16,0.25741633772850037,0.018573714420199394,0.3909289836883545,0.3147394061088562,0.018341602757573128,1,Topic 3
17,0.4923076033592224,0.016347084194421768,0.016435684636235237,0.016475513577461243,0.458434134721756,0,Topic 1
18,0.02016260102391243,0.020194226875901222,0.020014002919197083,0.020118527114391327,0.9195106625556946,1,Topic 5
19,0.7205516695976257,0.025802571326494217,0.025224991142749786,0.20332719385623932,0.02509355917572975,0,Topic 1
20,0.14263348281383514,0.6556874513626099,0.02246691845357418,0.15639077126979828,0.02282135933637619,0,Topic 2
21,0.016747916117310524,0.10385634005069733,0.016897179186344147,0.01685948669910431,0.8456391096115112,0,Topic 5
22,0.6754676103591919,0.14280736446380615,0.022252576425671577,0.02239939197897911,0.1370730996131897,0,Topic 1
23,0.016881026327610016,0.01689043454825878,0.01691833697259426,0.016940433531999588,0.9323697090148926,0,Topic 5
24,0.09429314732551575,0.24414344131946564,0.015677260234951973,0.015021261759102345,0.6308648586273193,1,Topic 5
25,0.018428917974233627,0.01825804077088833,0.5625513792037964,0.01827889494597912,0.38248273730278015,0,Topic 3
26,0.5953108072280884,0.0250832699239254,0.15118779242038727,0.025457844138145447,0.20296025276184082,0,Topic 1
27,0.2604736089706421,0.6684598922729492,0.02344120852649212,0.022966573014855385,0.0246586874127388,1,Topic 2
28,0.020136961713433266,0.0203627310693264,0.02006436511874199,0.9192491769790649,0.020186714828014374,0,Topic 4
29,0.016710545867681503,0.10166435688734055,0.01709183305501938,0.20695452392101288,0.6575787663459778,1,Topic 5
30,0.014287850819528103,0.01432729046791792,0.014633482322096825,0.7824967503547668,0.1742546260356903,1,Topic 4
31,0.01706554740667343,0.01687760278582573,0.017527693882584572,0.46600937843322754,0.4825197458267212,1,Topic 5
32,0.11077670007944107,0.01840141974389553,0.01835194230079651,0.018501045182347298,0.8339688777923584,1,Topic 5
